timepoint,cohort,n,mean,median,std,p25,p75,min,max,pct_ge80,pct_ge90
Grade 11,A,26,78.07692307692308,80.0,7.883771061734745,71.25,85.0,65,95,57.692307692307686,7.6923076923076925
Grade 11,B,25,79.56,80.0,8.981833517346741,75.0,85.0,59,95,60.0,24.0
Grade 11,C,25,77.6,75.0,6.311365409587165,70.0,85.0,70,90,48.0,4.0
Grade 12,A,26,78.07692307692308,80.0,7.883771061734745,71.25,85.0,65,95,57.692307692307686,7.6923076923076925
Grade 12,B,25,81.2,80.0,7.5387885852657615,75.0,90.0,65,95,64.0,28.000000000000004
Grade 12,C,25,77.6,75.0,6.311365409587165,70.0,85.0,70,90,48.0,4.0
